Date,WCS- Sales_Accessories,Ordered Units_Accessories,Ship Charge_Accessories,Ship Tax Amount_Accessories,Tax Amount_Accessories,Total Shipping Cost_Accessories,Discount_Accessories,WCS- Sales_Footwear,Ordered Units_Footwear,Ship Charge_Footwear,Ship Tax Amount_Footwear,Tax Amount_Footwear,Total Shipping Cost_Footwear,Discount_Footwear,WCS- Sales_Apparel,Ordered Units_Apparel,Ship Charge_Apparel,Ship Tax Amount_Apparel,Tax Amount_Apparel,Total Shipping Cost_Apparel,Discount_Apparel,WCS- Sales_Custom,Ordered Units_Custom,Ship Charge_Custom,Ship Tax Amount_Custom,Tax Amount_Custom,Total Shipping Cost_Custom,Discount_Custom,WCS- Sales_Equipment,Ordered Units_Equipment,Ship Charge_Equipment,Ship Tax Amount_Equipment,Tax Amount_Equipment,Total Shipping Cost_Equipment,Discount_Equipment,WCS- Sales_Other,Ordered Units_Other,Ship Charge_Other,Ship Tax Amount_Other,Tax Amount_Other,Total Shipping Cost_Other,Discount_Other, # of Orders , # of Page Views ,YoY Product Views %,YoY Units %,YoY Sales USD %,YoY Visitors %,YoY Page Views %,YoY Avg. Unit Retail %, # of Product Views , # of Units , # of Visitors , Sales (USD) ,YoY Avg. Order Value %,Conversion Rate,YoY Conv Rate %,YoY Orders %, AUR , AOV 
2015-06-19, $681 , 51 , 186 , 2 , 45 , 187 ,-15.92388889," $24,937 ", 231 ," 2,188 ", 16 ," 1,502 "," 2,204 ",-51.60137255," $6,010 ", 169 , 447 , 1 , 329 , 448 ,-30.36566667, $142 , 6 , 12 , -   , 7 , 12 ,-6.6075, $78 , 1 , 10 , -   , 3 , 10 ,-9.95,,,,,,,,250,"218,210",,-51.47%,-43.84%,-7.16%,,15.73%, -   ,429,"35,209"," $30,011.44 ",19.06%,0.71%,-0.49192879,-0.528301887, $69.96 , $120.05 
2015-06-20, $515 , 52 , 134 , 2 , 26 , 135 ,-29.5125," $25,427 ", 231 ," 2,101 ", 23 ," 1,655 "," 2,124 ",-40.20385965," $4,068 ", 95 , 364 , -   , 191 , 364 ,-25.98, $24 , 2 , 1 , -   , 2 , 1 ,-31.75, $436 , 4 , 16 , -   , 32 , 16 ,-6.22,,,,,,,,227,"197,630",,-50.00%,-34.74%,1.09%,,30.53%, -   ,370,"32,560"," $29,727.34 ",11.26%,0.70%,-0.419759903,-0.413436693, $80.34 , $130.96 
2015-06-21," $1,736 ", 81 , 306 , 2 , 81 , 308 ,-22.22842105," $32,040 ", 302 ," 2,587 ", 29 ," 1,963 "," 2,616 ",-61.02528302," $6,705 ", 166 , 487 , 0 , 381 , 487 ,-24.15931034,,,,,,,,,,,,,,,,,,,,,,308,"249,442",,-51.90%,-39.81%,4.18%,,25.14%, -   ,545,"44,085"," $39,719.27 ",27.82%,0.70%,-0.547960414,-0.529051988, $72.88 , $128.96 
2015-06-22," $3,618 ", 138 , 513 , 5 , 191 , 519 ,-47.40461538," $36,450 ", 371 ," 3,057 ", 14 ," 2,366 "," 3,072 ",-64.01285714," $13,380 ", 347 ," 1,044 ", 5 , 664 ," 1,049 ",-57.95325, $23 , 1 , 5 , -   , 5 , 5 ,-2.49, $344 , 3 , 25 , -   , 31 , 25 ,-13.22333333,,,,,,,,404,"264,144",,42.91%,31.06%,50.82%,,-8.29%, -   ,786,"49,297"," $49,731.62 ",-0.41%,0.82%,-0.12746215,0.315960912, $63.27 , $123.10 
2015-06-23," $2,516 ", 122 , 360 , 3 , 180 , 363 ,-45.09882353," $31,946 ", 306 ," 2,595 ", 24 ," 1,865 "," 2,619 ",-56.99," $8,091 ", 247 , 853 , 3 , 367 , 856 ,-52.33133333, $84 , 3 , 9 , -   , -   , 9 ,0.0, $228 , 3 , 21 , 0 , 15 , 22 ,-11.98,,,,,,,,338,"268,742",,15.68%,6.51%,53.25%,,-7.93%, -   ,664,"51,492"," $41,503.15 ",6.82%,0.66%,-0.349415678,-0.002949853, $62.50 , $122.79 
2015-06-24," $3,537 ", 180 , 767 , 5 , 230 , 771 ,-44.16935484," $32,698 ", 320 ," 2,744 ", 17 ," 2,105 "," 2,762 ",-58.66770492," $10,776 ", 289 , 834 , 4 , 432 , 838 ,-39.03548387, $242 , 9 , 13 , -   , 13 , 13 ,-3.256666667, $371 , 4 , 38 , 2 , 22 , 40 ,-7.715,,,,,,,,386,"249,090",,58.73%,29.17%,45.39%,,-18.62%, -   ,727,"46,767"," $41,921.46 ",-0.61%,0.83%,-0.106101103,0.2996633, $57.66 , $108.60 
2015-06-25," $2,857 ", 107 , 333 , 5 , 184 , 338 ,-30.72791667," $25,411 ", 238 ," 1,878 ", 20 ," 1,690 "," 1,898 ",-78.79767442," $6,833 ", 181 , 514 , -   , 222 , 514 ,-40.5248, $56 , 2 , 8 , -   , -   , 8 ,0.0, $286 , 4 , 13 , -   , 47 , 13 ,-12.62333333,,,,,,,,248,"212,209",,-27.09%,-24.94%,14.96%,,2.96%, -   ,471,"39,991"," $29,898.00 ",8.66%,0.62%,-0.399069247,-0.309192201, $63.48 , $120.56 
2015-06-26," $1,843 ", 85 , 236 , -   , 62 , 236 ,-64.39555556," $24,689 ", 235 ," 1,881 ", 22 ," 1,557 "," 1,903 ",-100.7346154," $7,665 ", 199 , 563 , 1 , 293 , 564 ,-40.14193548,,,,,,,,,,,,,,,,,,,,,,242,"215,208",,-11.52%,-16.83%,39.71%,,-6.00%, -   ,476,"41,035"," $31,412.48 ",4.47%,0.59%,-0.430221473,-0.203947368, $65.99 , $129.80 
2015-06-27," $1,369 ", 54 , 199 , 1 , 70 , 200 ,-22.90533333," $24,322 ", 227 ," 1,971 ", 11 ," 1,591 "," 1,982 ",-44.38152542," $5,041 ", 107 , 262 , 1 , 132 , 262 ,-40.44863636,,,,,,,,,,,,,,,,,,,,,,225,"201,381",,-19.66%,-5.16%,33.32%,,18.04%, -   ,376,"37,990"," $29,682.95 ",11.70%,0.59%,-0.363151673,-0.150943396, $78.94 , $131.92 
2015-06-28," $2,312 ", 84 , 292 , 5 , 179 , 297 ,-25.42684211," $20,750 ", 198 ," 1,705 ", 9 ," 1,104 "," 1,714 ",-45.85347826," $6,040 ", 138 , 461 , 3 , 281 , 464 ,-18.48222222,,,,,,,,,,,,,,,,,,,,,,227,"245,577",,-40.29%,-32.17%,24.81%,,13.59%, -   ,418,"44,865"," $28,951.77 ",5.77%,0.51%,-0.486233843,-0.358757062, $69.26 , $127.54 
2015-06-29," $1,329 ", 61 , 157 , 1 , 87 , 158 ,-26.67," $28,746 ", 295 ," 2,315 ", 19 ," 1,842 "," 2,333 ",-115.7921951," $7,964 ", 170 , 565 , 7 , 416 , 572 ,-36.46275862,,,,,,,, $44 , 1 , 10 , -   , 4 , 10 ,-15.95,,,,,,,,270,"218,813",,-17.11%,-10.23%,25.82%,,8.31%, -   ,494,"41,564"," $35,895.78 ",8.73%,0.65%,-0.343744454,-0.174311927, $72.66 , $132.95 
2015-06-30," $1,843 ", 59 , 180 , 1 , 127 , 180 ,-28.89631579," $29,239 ", 268 ," 2,305 ", 17 ," 1,769 "," 2,322 ",-79.9537037," $5,895 ", 159 , 573 , 3 , 252 , 575 ,-46.14967742, $25 , 1 , -   , -   , 2 , -   ,-2.8, $175 , 1 , 3 , -   , 16 , 3 ,-3.32,,,,,,,,250,"183,360",,-7.43%,-7.73%,-0.22%,,-0.33%, -   ,461,"34,642"," $33,555.44 ",20.32%,0.72%,-0.231402146,-0.233128834, $72.79 , $134.22 
2015-07-01," $8,141 ", 404 ," 1,166 ", 2 , 543 ," 1,168 ",-139.982549," $56,071 ", 971 ," 5,468 ", 25 ," 2,897 "," 5,493 ",-251.4595098," $58,127 "," 1,927 "," 5,625 ", 7 ," 2,061 "," 5,632 ",-420.0138835,,,,,,,, $575 , 8 , 31 , -   , 21 , 31 ,-87.845,,,,,,,,"1,241","535,616",,478.88%,202.74%,120.88%,,-47.70%, -   ,"2,796","66,828"," $99,476.00 ",-37.06%,1.86%,1.177663485,3.810077519, $35.58 , $80.16 
2015-07-02," $6,298 ", 284 , 865 , 3 , 345 , 869 ,-127.2983333," $45,987 ", 755 ," 4,028 ", 16 ," 2,346 "," 4,044 ",-257.7013699," $39,569 "," 1,396 "," 5,295 ", 9 ," 1,603 "," 5,304 ",-360.2998795, $295 , 11 , 12 , -   , 22 , 12 ,-4.25, $151 , 3 , 14 , -   , 16 , 14 ,-49.25,,,,,,,,948,"453,314",,215.68%,90.81%,59.64%,,-39.55%, -   ,"2,074","59,673"," $80,674.56 ",-24.12%,1.59%,0.575173555,1.514588859, $38.90 , $85.10 
2015-07-03," $3,984 ", 224 , 740 , 1 , 210 , 741 ,-84.25727273," $45,055 ", 743 ," 4,546 ", 23 ," 2,532 "," 4,569 ",-210.2884706," $25,166 ", 822 ," 2,597 ", 4 , 918 ," 2,601 ",-265.7952459, $46 , 2 , 10 , -   , 2 , 10 ,-9.95, $193 , 2 , 12 , -   , 17 , 12 ,-47.365,,,,,,,,838,"430,698",,202.73%,97.82%,99.82%,,-34.65%, -   ,"1,777","58,360"," $73,836.70 ",-27.06%,1.44%,0.357195268,1.71197411, $41.55 , $88.11 
2015-07-04," $3,370 ", 163 , 391 , -   , 158 , 391 ,-64.9675," $28,971 ", 448 ," 2,812 ", 9 ," 1,567 "," 2,821 ",-171.463871," $21,279 ", 734 ," 1,969 ", 2 , 635 ," 1,970 ",-304.5328261, $96 , 4 , 10 , -   , 4 , 10 ,-5.29," $1,198 ", 3 , 2 , -   , -   , 2 ,-2.48,,,,,,,,567,"330,839",,231.11%,114.78%,52.74%,,-35.13%, -   ,"1,341","44,728"," $52,448.81 ",-13.26%,1.27%,0.621057782,1.475982533, $39.11 , $92.50 
2015-07-05," $4,137 ", 203 , 842 , 2 , 233 , 845 ,-99.84448276," $37,170 ", 625 ," 4,214 ", 8 ," 2,174 "," 4,221 ",-181.7279762," $23,117 ", 873 ," 3,450 ", 1 ," 1,105 "," 3,450 ",-216.3146154, $70 , 3 , 12 , -   , 6 , 12 ,-4.803333333,,,,,,,,,,,,,,,915,"403,921",,123.22%,44.11%,33.57%,,-35.44%, -   ,"1,692","53,496"," $64,137.71 ",-37.00%,1.71%,0.712589025,1.2875, $37.91 , $70.10 
2015-07-06," $5,355 ", 263 , 749 , 1 , 238 , 749 ,-104.7654054," $46,148 ", 767 ," 5,023 ", 18 ," 2,568 "," 5,042 ",-213.2882759," $28,492 ", 983 ," 3,261 ", 2 ," 1,135 "," 3,263 ",-247.8069512, $215 , 8 , 25 , 1 , 13 , 26 ,-2.29, $242 , 4 , 41 , 1 , 13 , 42 ,-42.07666667,,,,,,,,919,"371,064",,158.66%,68.39%,38.19%,,-34.90%, -   ,"1,896","49,033"," $74,774.89 ",-27.07%,1.87%,0.670953271,1.309045226, $39.44 , $81.37 
2015-07-07," $5,393 ", 166 , 520 , 3 , 185 , 523 ,-55.56878788," $37,793 ", 451 ," 3,129 ", 33 ," 2,379 "," 3,161 ",-140.2619403," $20,100 ", 666 ," 1,577 ", 1 , 908 ," 1,578 ",-233.2178431, $177 , 7 , 13 , -   , 5 , 13 ,-6.313333333," $1,123 ", 5 , 35 , -   , 8 , 35 ,-2.8425,,,,,,,,487,"280,676",,92.91%,49.94%,9.01%,,-22.28%, -   ,"1,034","39,004"," $52,333.14 ",-3.33%,1.25%,0.422716484,0.550955414, $50.61 , $107.46 
2015-07-08," $2,414 ", 75 , 322 , 6 , 140 , 329 ,-37.84285714," $30,915 ", 350 ," 2,682 ", 21 ," 1,793 "," 2,704 ",-117.2823077," $12,536 ", 374 , 952 , 7 , 376 , 959 ,-234.9845161, $80 , 3 , 4 , -   , 6 , 4 ,-2.24, $419 , 4 , 22 , -   , 30 , 22 ,-11.79,,,,,,,,346,"236,450",,57.53%,39.98%,2.05%,,-11.14%, -   ,690,"35,104"," $40,004.12 ",-1.69%,0.99%,0.395272507,0.423868313, $57.98 , $115.62 
2015-07-09," $3,165 ", 124 , 469 , 8 , 223 , 477 ,-42.7," $31,720 ", 341 ," 2,710 ", 26 ," 1,902 "," 2,736 ",-112.7391379," $11,946 ", 254 , 886 , 5 , 373 , 891 ,-220.2486207, $28 , 1 , -   , -   , 2 , -   ,0.0,,,,,,,,,,,,,,,377,"242,894",,31.46%,25.48%,3.99%,,-4.55%, -   ,677,"37,488"," $44,145.94 ",-13.46%,1.01%,0.394340856,0.45, $65.21 , $117.10 
2015-07-10," $1,960 ", 81 , 269 , 2 , 93 , 272 ,-97.161875," $25,529 ", 282 ," 2,262 ", 22 ," 1,640 "," 2,284 ",-102.8718966," $5,784 ", 135 , 513 , 4 , 245 , 517 ,-147.9095238, $56 , 3 , 6 , 0 , 4 , 6 ,-9.333333333,,,,,,,,,,,,,,,272,"217,205",,-10.81%,-19.53%,1.84%,,-9.78%, -   ,454,"35,974"," $28,206.77 ",-11.24%,0.76%,-0.109690332,-0.093333333, $62.13 , $103.70 
2015-07-11," $1,845 ", 45 , 125 , 1 , 92 , 127 ,-66.14111111," $18,368 ", 191 ," 1,497 ", 14 ," 1,210 "," 1,511 ",-64.26981132," $3,052 ", 92 , 324 , 1 , 106 , 325 ,-73.674,,,,,,,, $405 , 5 , 35 , -   , 28 , 35 ,-10.2075,,,,,,,,194,"194,584",,-29.27%,-28.53%,-0.19%,,1.05%, -   ,331,"31,255"," $23,635.14 ",-1.64%,0.62%,-0.272059901,-0.27340824, $71.41 , $121.83 
2015-07-12," $1,784 ", 79 , 282 , 2 , 99 , 284 ,-42.07761905," $25,501 ", 286 ," 2,184 ", 17 ," 1,571 "," 2,201 ",-86.03232143," $6,495 ", 125 , 489 , 6 , 399 , 495 ,-100.90375, $26 , 1 , 2 , -   , -   , 2 ,-2.49, $125 , 1 , 3 , -   , 9 , 3 ,-3.32,,,,,,,,282,"261,330",,-27.22%,-28.83%,10.02%,,-2.21%, -   ,492,"42,488"," $33,929.81 ",-12.17%,0.66%,-0.263484132,-0.189655172, $68.96 , $120.32 
2015-07-13," $5,542 ", 116 , 328 , 4 , 141 , 332 ,-51.01521739," $32,922 ", 372 ," 2,524 ", 22 ," 1,724 "," 2,546 ",-113.7525455," $7,279 ", 152 , 588 , 3 , 318 , 591 ,-95.75058824,,,,,,,," $1,013 ", 5 , 22 , -   , 15 , 22 ,-20.21,,,,,,,,298,"234,927",,30.75%,10.81%,14.73%,,-15.25%, -   ,557,"40,531"," $38,875.15 ",2.25%,0.74%,-0.055470986,0.083636364, $69.79 , $130.45 
2015-07-14," $1,507 ", 62 , 230 , 2 , 85 , 232 ,-25.50956522," $27,799 ", 282 ," 2,417 ", 19 ," 1,790 "," 2,437 ",-84.17054545," $4,435 ", 96 , 350 , 7 , 227 , 357 ,-75.75518519, $219 , 8 , 30 , 1 , 13 , 31 ,-2.485,,,,,,,,,,,,,,,256,"224,546",,-13.79%,-18.18%,10.42%,,-5.10%, -   ,419,"38,986"," $31,971.00 ",-10.83%,0.66%,-0.169001573,-0.082437276, $76.30 , $124.89 
2015-07-15," $5,300 ", 135 , 500 , 3 , 291 , 503 ,-44.30258065," $35,871 ", 422 ," 3,231 ", 31 ," 2,124 "," 3,262 ",-132.7271875," $9,703 ", 155 , 676 , 11 , 434 , 687 ,-149.5688889,,,,,,,, $528 , 2 , 11 , -   , 8 , 11 ,-9.885,,,,,,,,379,"271,919",,-89.31%,-80.20%,-34.49%,,85.32%, -   ,658,"47,227"," $42,240.90 ",36.31%,0.80%,-0.778253986,-0.854733614, $64.20 , $111.45 
2015-07-16," $3,487 ", 111 , 370 , 4 , 260 , 373 ,-52.04333333," $32,154 ", 361 ," 2,504 ", 19 ," 2,197 "," 2,523 ",-110.8786364," $5,091 ", 90 , 342 , 3 , 192 , 344 ,-122.6211765, $28 , 1 , 5 , 0 , 3 , 5 ,0.0, $118 , 1 , 10 , -   , 9 , 10 ,-9.95,,,,,,,,285,"228,393",,-82.29%,-68.90%,-32.25%,,75.60%, -   ,503,"38,906"," $34,740.54 ",47.75%,0.73%,-0.689332737,-0.789512555, $69.07 , $121.90 
2015-07-17," $2,422 ", 99 , 415 , 5 , 154 , 420 ,-56.49736842," $23,810 ", 271 ," 2,190 ", 11 ," 1,522 "," 2,201 ",-99.01122807," $4,549 ", 89 , 332 , 3 , 259 , 335 ,-102.4613636,,,,,,,, $195 , 3 , 25 , -   , 21 , 25 ,-6.174,,,,,,,,255,"209,520",,-69.09%,-51.21%,-21.40%,,57.85%, -   ,416,"35,325"," $28,167.77 ",6.57%,0.72%,-0.417541653,-0.542190305, $67.71 , $110.46 
2015-07-18," $1,662 ", 65 , 205 , 2 , 101 , 207 ,-46.643," $25,132 ", 273 ," 2,116 ", 17 ," 1,575 "," 2,133 ",-97.34396226," $7,337 ", 171 , 344 , 4 , 194 , 348 ,-215.4817647, $23 , 1 , 5 , -   , -   , 5 ,-4.98, $206 , 2 , 11 , 0 , 17 , 11 ,-4.975,,,,,,,,247,"236,613",,-54.60%,-33.31%,11.75%,,46.88%, -   ,405,"40,203"," $29,404.82 ",0.98%,0.61%,-0.409026929,-0.339572193, $72.60 , $119.05 
2015-07-19," $1,740 ", 87 , 271 , 1 , 95 , 272 ,-38.93235294," $23,356 ", 270 ," 2,099 ", 7 ," 1,455 "," 2,107 ",-87.45288462," $3,403 ", 74 , 311 , 1 , 224 , 312 ,-62.131,,,,,,,, $845 , 6 , 48 , 2 , 85 , 49 ,-8.53,,,,,,,,256,"225,029",,-76.43%,-66.78%,-31.16%,,40.93%, -   ,421,"36,930"," $28,415.59 ",-4.10%,0.69%,-0.496747495,-0.653585927, $67.50 , $111.00 
2015-07-20," $1,715 ", 87 , 296 , 2 , 139 , 298 ,-38.11555556," $27,172 ", 308 ," 2,410 ", 15 ," 1,757 "," 2,425 ",-109.8388679," $3,988 ", 80 , 333 , 1 , 184 , 334 ,-119.05, $129 , 5 , 31 , -   , 6 , 31 ,-3.733333333,,,,,,,,,,,,,,,268,"239,729",,-72.23%,-59.86%,-16.81%,,44.55%, -   ,421,"43,447"," $29,289.22 ",1.11%,0.62%,-0.522736753,-0.602962963, $69.57 , $109.29 
2015-07-21," $2,513 ", 95 , 340 , 2 , 145 , 342 ,-37.01291667," $27,585 ", 306 ," 2,449 ", 22 ," 1,559 "," 2,471 ",-116.8007692," $3,198 ", 77 , 297 , 2 , 204 , 298 ,-69.322, $62 , 3 , 18 , -   , 2 , 18 ,-7.426666667, $355 , 4 , 27 , -   , 31 , 27 ,-14.6325,,,,,,,,262,"222,776",,-56.70%,-48.97%,-0.30%,,17.85%, -   ,443,"44,657"," $29,699.87 ",-8.64%,0.59%,-0.439675827,-0.441364606, $67.04 , $113.36 
2015-07-22," $2,710 ", 130 , 451 , 4 , 153 , 455 ,-64.40266667," $34,462 ", 436 ," 3,085 ", 22 ," 2,010 "," 3,107 ",-141.4488406," $7,348 ", 152 , 661 , 5 , 366 , 667 ,-106.7033333,,,,,,,, $313 , 3 , 21 , -   , 24 , 21 ,-7.106666667,,,,,,,,374,"268,498",,-31.37%,-24.19%,31.08%,,10.47%, -   ,630,"54,096"," $38,207.45 ",-12.03%,0.69%,-0.342551542,-0.138248848, $60.65 , $102.16 
2015-07-23," $3,121 ", 130 , 441 , 5 , 196 , 446 ,-111.0178261," $33,489 ", 375 ," 2,730 ", 26 ," 1,971 "," 2,756 ",-110.2598438," $5,086 ", 117 , 485 , 2 , 317 , 488 ,-108.4284615,,,,,,,, $525 , 5 , 35 , -   , 27 , 35 ,-8.705,,,,,,,,307,"220,517",,-47.22%,-38.90%,-9.18%,,15.76%, -   ,531,"40,749"," $34,549.15 ",-12.43%,0.75%,-0.231762018,-0.302272727, $65.06 , $112.54 
2015-07-24," $1,357 ", 55 , 265 , 3 , 80 , 268 ,-35.35941176," $32,068 ", 335 ," 2,681 ", 32 ," 1,871 "," 2,713 ",-103.0490741," $2,719 ", 51 , 230 , 0 , 200 , 230 ,-70.30294118, $44 , 2 , 7 , -   , -   , 7 ,-12.23,,,,,,,,,,,,,,,234,"226,445",,-50.43%,-39.58%,9.13%,,21.89%, -   ,345,"42,948"," $27,170.00 ",-1.36%,0.54%,-0.438681357,-0.387434555, $78.75 , $116.11 
2015-07-25," $1,099 ", 76 , 242 , 2 , 61 , 243 ,-27.856," $22,927 ", 255 ," 1,990 ", 10 ," 1,380 "," 2,000 ",-99.10953488," $1,690 ", 35 , 140 , -   , 58 , 140 ,-37.413, $23 , 1 , 5 , -   , 1 , 5 ,-4.97, $284 , 2 , 12 , -   , 13 , 12 ,-6.215,,,,,,,,201,"192,224",,-48.34%,-41.95%,-1.32%,,12.38%, -   ,312,"35,470"," $21,768.57 ",-14.22%,0.57%,-0.314207482,-0.323232323, $69.77 , $108.30 
2015-07-26," $1,948 ", 90 , 318 , 2 , 154 , 320 ,-31.42666667," $28,456 ", 279 ," 2,299 ", 16 ," 1,775 "," 2,315 ",-82.28166667," $4,338 ", 70 , 245 , 1 , 251 , 246 ,-53.88904762, $99 , 4 , 23 , -   , 3 , 23 ,-4.42, $274 , 2 , 12 , -   , 14 , 12 ,-6.22,,,,,,,,275,"246,417",,-48.53%,-30.80%,4.32%,,34.45%, -   ,437,"44,395"," $34,636.81 ",5.95%,0.62%,-0.37385151,-0.346793349, $79.26 , $125.95 
2015-07-27," $1,799 ", 92 , 361 , 4 , 125 , 365 ,-34.00642857," $40,564 ", 400 ," 3,315 ", 32 ," 2,612 "," 3,347 ",-108.6933333," $2,897 ", 56 , 261 , 2 , 147 , 263 ,-40.828125, $79 , 3 , 9 , 0 , 6 , 10 ,-2.49, $402 , 4 , 14 , -   , 31 , 14 ,-4.975,,,,,,,,325,"228,759",,-42.17%,-22.33%,-7.64%,,34.30%, -   ,517,"42,147"," $42,796.46 ",9.45%,0.77%,-0.231717892,-0.290393013, $82.78 , $131.68 
2015-07-28," $2,360 ", 83 , 308 , 3 , 145 , 311 ,-40.67285714," $35,688 ", 352 ," 2,978 ", 17 ," 1,987 "," 2,996 ",-101.9747887," $3,085 ", 46 , 188 , 1 , 169 , 189 ,-64.84, $27 , 1 , 1 , -   , 2 , 1 ,-1.42, $440 , 5 , 34 , -   , 35 , 34 ,-20.07,,,,,,,,296,"235,213",,-36.66%,-15.24%,8.18%,,33.82%, -   ,463,"44,637"," $39,642.35 ",5.95%,0.66%,-0.260505858,-0.2, $85.62 , $133.93 
2015-07-29," $1,433 ", 84 , 342 , 5 , 67 , 347 ,-33.52210526," $35,878 ", 324 ," 2,771 ", 22 ," 2,350 "," 2,793 ",-88.62327869," $3,201 ", 49 , 225 , 2 , 171 , 227 ,-74.35833333, $79 , 3 , 2 , -   , 16 , 2 ,-1.255,,,,,,,,,,,,,,,289,"214,771",,-95.80%,-88.00%,-55.54%,,185.40%, -   ,441,"40,284"," $38,481.43 ",79.76%,0.72%,-0.849830216,-0.933240933, $87.26 , $133.15 
2015-07-30," $1,716 ", 58 , 258 , 5 , 87 , 263 ,-41.05333333," $33,932 ", 322 ," 2,781 ", 32 ," 1,968 "," 2,813 ",-68.57046154," $8,406 ", 84 , 360 , 1 , 449 , 361 ,-214.120625, $52 , 2 , 4 , -   , 1 , 4 ,-3.65, $128 , 1 , 5 , -   , 11 , 5 ,-19.77,,,,,,,,273,"236,295",,-18.33%,2.90%,-14.13%,,25.99%, -   ,410,"44,716"," $38,258.47 ",15.71%,0.61%,0.035616455,-0.110749186, $93.31 , $140.14 
2015-07-31," $1,363 ", 64 , 298 , -   , 67 , 298 ,-50.656," $28,961 ", 309 ," 2,532 ", 10 ," 1,667 "," 2,542 ",-115.0547368," $5,155 ", 41 , 206 , -   , 328 , 206 ,-138.3584211,,,,,,,, $242 , 3 , 13 , -   , 14 , 13 ,-7.353333333,,,,,,,,254,"208,373",,-37.76%,-30.98%,-6.55%,,10.90%, -   ,361,"39,921"," $29,460.23 ",-13.31%,0.64%,-0.147934726,-0.203761755, $81.61 , $115.99 
2015-08-01, $840 , 42 , 193 , -   , 75 , 193 ,-33.52631579," $26,634 ", 271 ," 2,346 ", 3 ," 1,718 "," 2,349 ",-73.54935484," $2,197 ", 39 , 204 , 1 , 127 , 206 ,-58.05642857,,,,,,,, $589 , 6 , 55 , -   , 45 , 55 ,-25.746,,,,,,,,261,"188,962",,-16.98%,-18.45%,-7.09%,,-1.77%, -   ,352,"35,299"," $29,855.06 ",-15.64%,0.74%,0.040414743,-0.033333333, $84.82 , $114.39 
2015-08-02, $992 , 65 , 305 , 1 , 66 , 306 ,-29.64315789," $34,162 ", 314 ," 2,764 ", 26 ," 2,150 "," 2,789 ",-68.51457627," $3,270 ", 34 , 152 , -   , 192 , 152 ,-88.28142857,,,,,,,, $161 , 2 , 12 , -   , 19 , 12 ,-25.04666667,,,,,,,,298,"246,361",,-33.28%,-22.01%,-6.79%,,16.90%, -   ,413,"45,109"," $38,404.05 ",-7.61%,0.66%,-0.094348929,-0.155807365, $92.99 , $128.87 
2015-08-03," $1,963 ", 69 , 302 , -   , 127 , 302 ,-38.83," $38,822 ", 367 ," 3,477 ", 15 ," 2,418 "," 3,493 ",-98.3915625," $3,733 ", 58 , 283 , 2 , 265 , 285 ,-75.69888889, $91 , 4 , 18 , -   , 6 , 18 ,-5.255, $688 , 5 , 30 , -   , 47 , 30 ,-31.01,,,,,,,,337,"230,554",,-21.27%,-16.39%,-6.14%,,6.19%, -   ,448,"41,837"," $40,312.09 ",-2.00%,0.81%,-0.091061724,-0.146835443, $89.98 , $119.62 
2015-08-04," $1,228 ", 86 , 370 , -   , 69 , 370 ,-52.03352941," $36,821 ", 356 ," 3,125 ", 14 ," 2,296 "," 3,139 ",-92.15430769," $6,478 ", 81 , 358 , -   , 280 , 358 ,-88.60631579, $46 , 2 , 4 , -   , 3 , 4 ,-9.58, $136 , 2 , 20 , -   , 5 , 20 ,-9.95,,,,,,,,350,"240,245",,8.72%,3.69%,7.73%,,-4.62%, -   ,474,"43,963"," $40,964.00 ",-8.46%,0.80%,0.051450517,0.132686084, $86.42 , $117.04 
2015-08-05," $1,248 ", 54 , 228 , -   , 42 , 228 ,-35.24," $37,866 ", 365 ," 3,152 ", 15 ," 2,383 "," 3,167 ",-83.54716216," $5,473 ", 80 , 311 , -   , 250 , 311 ,-73.80454545, $27 , 1 , 1 , -   , 2 , 1 ,-0.56, $156 , 2 , 20 , -   , 21 , 20 ,-6.633333333,,,,,,,,326,"229,213",,-9.68%,-13.61%,-18.43%,,-4.35%, -   ,448,"41,966"," $40,700.00 ",-8.57%,0.78%,0.158474044,-0.055072464, $90.85 , $124.85 
2015-08-06," $1,367 ", 77 , 394 , -   , 98 , 394 ,-39.49652174," $39,369 ", 374 ," 3,221 ", 16 ," 2,707 "," 3,237 ",-87.53407895," $4,950 ", 61 , 305 , 1 , 230 , 306 ,-87.73772727,,,,,,,, $837 , 8 , 95 , 2 , 53 , 97 ,-15.29285714,,,,,,,,355,"247,465",,-9.87%,-6.22%,-18.43%,,4.04%, -   ,475,"44,884"," $42,277.00 ",-20.75%,0.79%,0.450614176,0.183333333, $89.00 , $119.09 
2015-08-07," $1,400 ", 65 , 321 , 2 , 84 , 323 ,-20.082," $37,966 ", 362 ," 3,215 ", 13 ," 2,222 "," 3,228 ",-104.3735484," $3,985 ", 56 , 251 , -   , 150 , 251 ,-84.23, $25 , 1 , 3 , -   , -   , 3 ,-3.32,,,,,,,,,,,,,,,327,"218,087",,-5.46%,-2.29%,-16.43%,,3.35%, -   ,433,"38,998"," $38,565.46 ",-15.74%,0.84%,0.387576341,0.159574468, $89.07 , $117.94 
